geometry_id,hit_id,channel0,channel1,timestamp,value,cluster_id,is_seed
936748997371236864,36462,47,77,0,0.172078341,268,1
936748997371237120,36463,35,67,0,0.386345655,512,1
936748997371237120,36463,35,68,0,0.214544594,512,0
936748997371237120,36463,36,68,0,0.0391250625,512,1
936748997371237120,36464,76,64,0,0.301423937,-1,0
936748997371237120,36464,77,64,0,0.322481811,-1,0
936748997371237376,36465,222,55,0,0.605366766,-1,0
936748997371237376,36466,544,18,0,0.208351895,390,1
936748997371237376,36466,545,18,0,0.260608166,390,1
936748997371237632,36467,559,49,0,0.162939191,405,0
936748997371237632,36467,559,50,0,0.109070152,405,1
936748997371237632,36467,560,50,0,0.295532316,405,0
936748997371237632,36468,22,9,0,0.315909773,7,1
936748997371237632,36468,23,9,0,0.133358836,7,1
936748997371237632,36469,121,87,0,0.601818383,439,1
936748997371237888,36470,34,38,0,0.188837767,586,1
936748997371237888,36470,34,39,0,0.354462922,586,1
936748997371237888,36471,324,45,0,0.537400305,186,0
936748997371238144,36472,381,14,0,0.508099973,7,0
936748997371238656,36473,460,7,0,0.522423565,7,1
936748997371238656,36474,445,82,0,0.51840502,274,1
936748997371238656,36474,445,83,0,0.129020438,274,1
936748997371238656,36474,444,83,0,0.0737697706,274,1
936748997371238656,36475,292,85,0,0.178457662,575,0
936748997371238656,36475,293,85,0,0.38200298,575,1
936748997371238656,36475,293,86,0,0.0316251963,575,1
936748997371239168,36476,267,16,0,0.20941703,7,1
936748997371239168,36476,268,16,0,0.430014133,7,1
936748997371239168,36477,319,12,0,0.368730545,7,1
936748997371239168,36477,320,12,0,0.182773888,7,1
936748997371239168,36477,320,13,0,0.062825717,7,1
936748997371239168,36478,38,82,0,0.711637497,31,1
936748997371239424,36479,286,87,0,0.546528161,81,1
936748997371239424,36479,287,87,0,0.133164674,81,1
936748997371239424,36480,333,73,0,0.267902732,19,0
936748997371239424,36480,334,73,0,0.340202093,19,1
936748997371239424,36481,547,28,0,0.14968957,571,1
936748997371239424,36481,546,28,0,0.149763703,571,1
936748997371239424,36481,546,29,0,0.314622879,571,0
936748997371239680,36482,66,16,0,0.240615129,540,1
936748997371239680,36482,65,16,0,0.395296305,540,0
936748997371240192,36483,299,41,0,0.250491083,4,1
