geometry_id,hit_id,channel0,channel1,timestamp,value
1224979373523363584,59873,32,8,0,0.166019291
1224979373523363584,59873,33,8,0,0.0496088006
1224979373523363840,59874,342,7,0,0.179043189
1224979373523363840,59874,341,7,0,0.0981729478
1224979373523364096,59875,13,6,0,0.0173870753
1224979373523364096,59875,12,6,0,0.0213574152
1224979373523364096,59875,12,7,0,0.246827081
1224979373523365120,59876,44,3,0,0.0171905011
1224979373523365120,59876,45,3,0,0.214910552
1224979373523365120,59876,46,3,0,0.0718718618
1224979373523366400,59877,174,7,0,0.00757956365
1224979373523366400,59877,173,7,0,0.270114064
1224979373523367168,59878,264,5,0,0.128048047
1224979373523367168,59878,265,5,0,0.184010968
1224979373523369984,59879,344,5,0,0.0324332565
1224979373523369984,59879,345,5,0,0.192137137
1224979373523369984,59879,346,5,0,0.178519428
1224979373523371008,59880,254,4,0,0.113110527
1224979373523371008,59880,255,4,0,0.195044488
1224979373523371008,59880,256,4,0,0.0395372622
1224979373523372288,59881,79,4,0,0.0976483822
1224979373523372288,59881,78,4,0,0.215508237
1224979373523372288,59882,329,0,0,0.0660369545
1224979373523372288,59882,330,0,0,0.155445188
1224979373523372288,59882,331,0,0,0.155450121
1224979373523372288,59882,332,0,0,0.0771394372
1224979373523373824,59883,393,7,0,0.106308661
1224979373523373824,59883,394,7,0,0.170144409
1224979373523373824,59883,395,7,0,0.170149818
1224979373523373824,59883,396,7,0,0.0694137663
1224979373523376128,59884,43,2,0,0.0707471967
1224979373523376128,59884,44,2,0,0.20881471
1224979373523376384,59885,173,1,0,0.142571077
1224979373523376384,59885,174,1,0,0.175497279
1224979373523376384,59885,175,1,0,0.0192580931
1224979373523377664,59886,184,1,0,0.245616302
1224979373523377920,59887,198,5,0,0.181077614
1224979373523377920,59887,197,5,0,0.184804454
1224979373523377920,59887,196,5,0,0.00947434921
1224979373523378176,59888,373,2,0,0.119079895
1224979373523378176,59888,372,2,0,0.131538197
1224979373523378432,59889,38,2,0,0.0471734963
1224979373523378432,59889,37,2,0,0.209170863
1224979373523379200,59890,257,6,0,0.167069912
1224979373523379200,59890,258,6,0,0.176844925
1224979373523379200,59890,259,6,0,0.0351912118
1224979373523380224,59891,196,4,0,0.218306586
1224979373523380224,59891,197,4,0,0.0924592912
1224979373523380480,59892,54,9,0,0.271981239
1224979373523380480,59892,53,9,0,0.0195826683
1224979373523380480,59893,116,5,0,0.174007341
1224979373523380480,59893,117,5,0,0.140739143
1224979373523382016,59894,266,5,0,0.00293159275
1224979373523382016,59894,265,5,0,0.196657225
1224979373523382016,59894,265,6,0,0.0431123562
1224979373523382016,59894,264,6,0,0.0717001036
1224979373523382272,59895,212,9,0,0.0471388809
1224979373523382272,59895,213,9,0,0.20269233
1224979373523382272,59895,214,9,0,0.121347673
1224979373523384064,59896,94,3,0,0.22270532
1224979373523384064,59896,95,3,0,0.0844751149
1224979373523384576,59897,287,5,0,0.070403263
1224979373523384576,59897,286,5,0,0.255301118
1224979373523389184,59898,246,5,0,0.286436796
1224979373523389184,59898,245,5,0,0.00302355248
1224979373523390208,59899,125,7,0,0.29604578
1224979373523390464,59900,374,0,0,0.143387362
1224979373523390464,59900,373,0,0,0.11847765
1224979373523390720,59901,288,8,0,0.284338623
1224979373523391488,59902,196,8,0,0.154993743
1224979373523391488,59902,197,8,0,0.166324511
1224979373523391488,59902,198,8,0,0.166321874
1224979373523391488,59902,199,8,0,0.131198943
1224979373523392256,59903,78,7,0,0.0392644666
1224979373523392256,59903,77,7,0,0.305733562
1224979373523392512,59904,271,6,0,0.000335039134
1224979373523392512,59904,272,6,0,0.219076216
1224979373523392512,59904,273,6,0,0.141085178
1224979373523393792,59905,322,5,0,0.312322348
1224979373523394304,59906,77,1,0,0.26745823
